Product_name,Regular_price,Currency,Grammage_quantity,Grammage_unit,Ingredients,Pdp_url,Storage_instructions,Country_of_origin,Nutritions,Image_url,Breadcrumbs
Hoogvliet Bananen,1.49,Euro,1,tros,,https://www.hoogvliet.com/product/hoogvliet-bananen,,,{},https://cdn.hoogvliet.com/Images/Product/XL/671474000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Bananen', 'Bananen']"
Hoogvliet Komkommer,0.79,Euro,1,stuk,Klasse 1 (11) land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-komkommer1,"Bewaarvoorschriften: 
Koel en droog bewaren. ",Nederland,"{'Energie': '13 Kilocalorie', 'Totale vetten': '0.4 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0.1 Gram', 'Vetzuren, meervoudig onverzadigd': '0.3 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '1.3 Gram', 'Suikers, totaal': '1.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '0.6 Gram', 'Eiwitten': '0.7 Gram', 'natrium': '0.002 Gram', 'Zout': '0.005 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/064786000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Komkommer, avocado', 'Komkommer']"
Bananen,1.49,Euro,1,tros,Klasse 1 (8)land van herkomst: Columbia,https://www.hoogvliet.com/product/bananen,Bewaarvoorschriften:rond 12 graden,Columbia,"{'Energie': '92 Kilocalorie', 'Totale vetten': '0.3 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '20 Gram', 'Suikers, totaal': '15.5 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0.1 Gram', 'Zetmeel': '4.5 Gram', 'Voedingsvezels': '1.9 Gram', 'Eiwitten': '1.1 Gram', 'natrium': '0 Gram', 'Zout': '0 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/016346000.jpg,"['Home', 'Feestweken', 'Ontbijt, lunch, brunch', 'Fruit', 'Bananen']"
Hoogvliet Trostomaten,0.99,Euro,500,gram,Klasse 1 (11) land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-trostomaten1,"Bewaarvoorschriften: 
Droog en donker bewaren. ",Nederland,"{'Energie': '22 Kilocalorie', 'Totale vetten': '0.5 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0.1 Gram', 'Vetzuren, meervoudig onverzadigd': '0.3 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '3 Gram', 'Suikers, totaal': '2.8 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.2 Gram', 'Eiwitten': '0.7 Gram', 'natrium': '0.001 Gram', 'Zout': '0.003 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/220361000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Tomaat, paprika', 'Trostomaten']"
Hoogvliet Hollandse Kersen 400 gram,4.49,Euro,400,gram,Klasse 1 ---- land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-hollandse-kersen-400-gram,,Nederland,"{'Energie': '54 Kilocalorie (internationale tabel)', 'Vetzuren, totaal verzadigd': '0 Gram', 'Totale vetten': '0 Gram', 'Koolhydraten': '11.5 Gram', 'Suikers, totaal, expressie onbekend': '11.5 Gram', 'Voedingsvezels': '0.9 Gram', 'Eiwitten': '0.9 Gram', 'Zout': '0.1 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/041786000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Hollandse Kersen 400 gram']"
Hoogvliet Pitloze rode druiven,2.49,Euro,500,gram,Klasse 1 .... Land van herkomst: Egypte,https://www.hoogvliet.com/product/hoogvliet-pitloze-rode-druiven,"Bewaarvoorschriften: 
Na aankoop gekoeld bewaren (max. 7°C). ",Egypte,"{'Energie': '78 Kilocalorie', 'Totale vetten': '0.2 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '16.8 Gram', 'Suikers, totaal': '16.2 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.8 Gram', 'Eiwitten': '0.6 Gram', 'natrium': '0.003 Gram', 'Zout': '0.008 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/001427000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Pitloze rode druiven']"
Hoogvliet Hollandse rode paprika,0.69,Euro,1,stuk,Klasse 1 ---- land van herkomst: nederland,https://www.hoogvliet.com/product/hoogvliet-hollandse-rode-paprika,"Bewaarvoorschriften: 
Koel, droog en donker bewaren. ",Nederland,"{'Energie': '25 Kilocalorie', 'Totale vetten': '0.1 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '4.3 Gram', 'Suikers, totaal': '4.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.8 Gram', 'Eiwitten': '0.8 Gram', 'natrium': '0.001 Gram', 'Zout': '0.003 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/075080000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Tomaat, paprika', 'Hollandse rode paprika']"
Hoogvliet Courgette,0.69,Euro,1,stuk,Klasse 1 (10) Land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-courgette,"Bewaarvoorschriften: 
Store in a cool, dry and dark place. ",Nederland,"{'Energie': '18 Kilocalorie', 'Totale vetten': '0.2 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Zout': '0.003 Gram', 'natrium': '0.001 Gram', 'Eiwitten': '1.3 Gram', 'Voedingsvezels': '0.9 Gram', 'Zetmeel': '0 Gram', 'Polyolen, totaal': '0 Gram', 'suiker, toegevoegd': '0 Gram', 'Suikers, totaal': '2.3 Gram', 'Koolhydraten': '2.3 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/002499000.jpg,"['Home', 'Alles voor de barbecue', 'Groente, fruit en aardappel', 'Groente en fruit', 'Courgette']"
Hoogvliet Broccoli,1.04,Euro,500,gram,klasse 1 (11) Land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-broccoli1,"Bewaarvoorschriften: 
Koel, droog en donker bewaren. ",Nederland,"{'Energie': '27 Kilocalorie', 'Totale vetten': '0.7 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.4 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '0.7 Gram', 'Suikers, totaal': '0.5 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0.2 Gram', 'Voedingsvezels': '3.1 Gram', 'Eiwitten': '2.9 Gram', 'natrium': '0.005 Gram', 'Zout': '0.013 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/217611000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Koolgroenten', 'Broccoli']"
Hoogvliet Snack tomaten 500 gram,2.99,Euro,500,gram,Klasse 1 ---- Land van Herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-snack-tomaten-500-gram,"Bewaarvoorschriften: 
Droog en donker bewaren. ",Nederland,"{'Energie': '22 Kilocalorie', 'Totale vetten': '0.5 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0.1 Gram', 'Vetzuren, meervoudig onverzadigd': '0.3 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '3 Gram', 'Suikers, totaal': '3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.4 Gram', 'Eiwitten': '0.7 Gram', 'natrium': '0.002 Gram', 'Zout': '0.005 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/047519000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Tomaat, paprika', 'Snack tomaten 500 gram']"
Hoogvliet Pitloze witte druiven,,Euro,500,gram,Klasse 1 .... land van herkomst: Egypte,https://www.hoogvliet.com/product/hoogvliet-pitloze-witte-druiven,"Bewaarvoorschriften: 
Na aankoop gekoeld bewaren (max. 7°C). ",Egypte,"{'Energie': '74 Kilocalorie', 'Totale vetten': '0.2 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.2 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '16.8 Gram', 'Suikers, totaal': '16.2 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0.6 Gram', 'Voedingsvezels': '1.7 Gram', 'Eiwitten': '0.5 Gram', 'natrium': '0.003 Gram', 'Zout': '0.008 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/000737000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Pitloze witte druiven']"
Hoogvliet Blauwe bessen,3.89,Euro,300,gram,Klasse 1 .... land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-blauwe-bessen1,"Bewaarvoorschriften: 
Gekoeld bewaren (max. 7°C). ",Nederland,"{'Energie': '219 Kilojoule', 'Totale vetten': '0 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Koolhydraten': '11 Gram', 'Suikers, totaal': '10 Gram', 'Eiwitten': '0.7 Gram', 'Zout': '0.003 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '1 Gram', 'Voedingsvezels': '2.4 Gram', 'natrium': '0.001 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/081222000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Blauwe bessen']"
Hoogvliet Paprika mix,1.99,Euro,3,stuk,Klasse 1 ---- land van herkomst: Nederland,https://www.hoogvliet.com/product/hoogvliet-paprika-mix,"Bewaarvoorschriften: 
Koel, droog en donker bewaren. ",Nederland,"{'Energie': '25 Kilocalorie', 'Totale vetten': '0.1 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '4.3 Gram', 'Suikers, totaal': '4.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zout': '0.003 Gram', 'natrium': '0.001 Gram', 'Eiwitten': '0.8 Gram', 'Voedingsvezels': '1.8 Gram', 'Zetmeel': '0 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/211990000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Groente', 'Tomaat, paprika', 'Paprika mix']"
Sable druiven blauw pitloos,3.19,Euro,400,gram,,https://www.hoogvliet.com/product/sable-druiven-blauw-pitloos,,,"{'Energie': '78 Kilocalorie', 'Totale vetten': '0.2 Gram', 'Vetzuren, totaal verzadigd': '0.1 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0.1 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '16.8 Gram', 'Suikers, totaal': '16.2 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '1.8 Gram', 'Eiwitten': '0.6 Gram', 'natrium': '0.003 Gram', 'Zout': '0.008 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/722109000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Fruit', 'Rood fruit, druiven', 'Sable druiven blauw pitloos']"
Snack komkommer,2.25,Euro,230,gram,Klasse 1.... Land van herkomst: Nederland,https://www.hoogvliet.com/product/snack-komkommer,"Bewaarvoorschriften: 
Koel en droog bewaren. ",Nederland,"{'Energie': '13 Kilocalorie', 'Totale vetten': '0.4 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0.1 Gram', 'Vetzuren, meervoudig onverzadigd': '0.3 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '1.3 Gram', 'Suikers, totaal': '1.3 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '0.6 Gram', 'Eiwitten': '0.7 Gram', 'natrium': '0.02 Gram', 'Zout': '0.05 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/723936000.jpg,"['Home', 'Aardappelen, groente, fruit', 'Snackgroente- en fruit', 'Snack komkommer']"
Hoogvliet Galia meloen,2.19,Euro,1,stuk,Klasse 1 (12) land van herkomst: Spanje,https://www.hoogvliet.com/product/hoogvliet-galia-meloen1,"Bewaarvoorschriften: 
Droog en donker bewaren. ",Spanje,"{'Energie': '27 Kilocalorie', 'Totale vetten': '0 Gram', 'Vetzuren, totaal verzadigd': '0 Gram', 'Vetzuren, enkelvoudig onverzadigd': '0 Gram', 'Vetzuren, meervoudig onverzadigd': '0 Gram', 'Transvetzuren': '0 Gram', 'Koolhydraten': '6 Gram', 'Suikers, totaal': '6 Gram', 'suiker, toegevoegd': '0 Gram', 'Polyolen, totaal': '0 Gram', 'Zetmeel': '0 Gram', 'Voedingsvezels': '0.4 Gram', 'Eiwitten': '0.5 Gram', 'natrium': '0.015 Gram', 'Zout': '0.038 Gram'}",https://cdn.hoogvliet.com/Images/Product/XL/210625000.jpg,"['Home', 'Feestweken', 'Ontbijt, lunch, brunch', 'Fruit', 'Galia meloen']"
